app_id,app_name,mean,count
ai.character.app,AI Chat,1.4720720720720721,1110
com.apple.atve.sony.appletv,Apple TV,1.9147727272727273,528
com.bigwinepot.nwdn.international,Remini,2.5558194774346794,421
com.canva.editor,Canva:AI,4.174603174603175,504
com.duolingo,Duolingo,4.344783715012722,786
com.flyersoft.moonreaderp,Moon+Reader Pro,3.767776777677768,1111
com.google.android.youtube,YouTube,2.966898954703833,574
com.qidian.Int.reader,WebNovel,3.8054679284963195,951
com.twitter.android,X,2.3017142857142856,875
com.zhiliaoapp.musically,TikTok,2.6684491978609626,748
jp.ne.ibis.ibispaint.app,ibis Paint,4.0378323108384455,978
net.mbc.shahidTV,MBC Shahid,1.8925619834710743,242
org.telegram.messenger,Telegram,2.7446483180428136,654
voicerecorder.audiorecorder.voice,Voice Recorder Audio Sound MP3,4.6841339155749635,687
