text_hash,duplicate_count,content
749052ab49ebcbdd1812ce114f98c21f,91,good app
4c640d8bcb56cb1379dea6250c04e805,35,great App
9e2721097e30a033b0f6ba17f955e935,20,i love this app
a17ca04c405a57c5e1f471017faa352e,15,very good app
1ef39b18553120992c468e887f86d3e7,15,the best
1e8b0be4b90489c41f05caf1dd940ebf,13,very nice app
b3ccbb6b7b9f5a3dad50a4220a9db114,13,good apps
42b63d0736fc0802bec68b354257ade7,10,easy to use
8c7d6557ad87a1c17d57dd2e74481873,10,good experience
455472b522fd0a1e27aaa91c4033db65,9,thank you
439c025f50df6b97e7461b9bc23ebb19,7,its good
f5ab96926a6a561aab7ecb4ba7c915d4,6,thank
44c11eff2bf13d9fbdf864699af3657d,6,Awesome app
e099517ed63ff85f8fd8355d50eb1f34,6,it's great
0820e3872dee988903f97be95f96d90b,6,good application
f4036b557050079656a8ce6529d1ab00,6,it's good
dda10458ea5ff9de283923c8e6ae034b,6,horrible
d9eabae8e319f49f831135f430ac6518,6,love this app
b7067b39d94ff55b35b33578dc3ee629,6,Very helpful
e7683adad32a114a5ee8be831229e6e4,5,really good
