,low_star_1_2,high_star_5
account,507.0,
ads,667.0,
age,413.0,
ai,729.0,
amazing,,206.0
bad,255.0,
best,,674.0
better,,122.0
books,,134.0
chat,289.0,
easy,,294.0
features,,126.0
fix,238.0,
free,,150.0
good,297.0,902.0
great,,511.0
learn,,161.0
learning,,157.0
love,,577.0
many,249.0,119.0
mode,206.0,
new,383.0,144.0
nice,,248.0
now,715.0,150.0
pay,199.0,
people,225.0,
please,294.0,161.0
read,204.0,170.0
reader,,228.0
reading,274.0,253.0
thank,,151.0
time,383.0,151.0
tv,228.0,
update,480.0,
ve,234.0,179.0
verification,349.0,
video,206.0,
want,291.0,127.0
work,272.0,
years,,156.0
