app_name,score,content_len,content,is_spam_bot_suspect,text_hash
Voice Recorder Audio Sound MP3,5,16,awesome and easy,True,5453a021bcd879d4c878f1e2684bcb9c
Voice Recorder Audio Sound MP3,5,14,enjoy this app,True,3310ba09cd7d9355041c1ce9e2d36516
Voice Recorder Audio Sound MP3,5,58,so good as I thought it is more better than it I love ittt,True,ba2dec48547d5bfc7f9acd82569c53cf
Voice Recorder Audio Sound MP3,5,92,"I use this app all the time, it's the best! Far superior to other recording apps I've tried.",True,497f8ec0d8e33e85c514c4e0af347b0f
Voice Recorder Audio Sound MP3,4,15,"works ok,so far",True,0642694ed4ac9225f6e418a9da479f8a
Voice Recorder Audio Sound MP3,5,14,this is so fun,True,312454bf444531069a8036686d2a9ffd
Voice Recorder Audio Sound MP3,5,500,"Improved lots since 2023. Can change location to SD card, audio source, bitrate, format (mp3/mp4/wav) & gain. Can record internal audio, incl. & excluding mic. Can mark, resume, disregard, trim, alter, compress, trash, backup & share recording. Can quick record via quick panel. Option to use Bluetooth mic via one-time unlock ($14). v1.3.4.1 is worth it. Only thing would be specifying audio source. Not sure difference btwn Default, Main & Main (unprocessed). Back (cam)? Front (Top or Bottom mic)?",True,d5d8a3977b1431ceaed5e1adf34f3d26
Voice Recorder Audio Sound MP3,5,98,easy and efficient. works great for humming my melodies and then listening later to make my songs.,True,2f2795b4c9a6ed926615d02a0a6bc3e6
Voice Recorder Audio Sound MP3,1,41,no sound seems to record but not playback,True,777d8386f755cc10904fb2db970b1850
Voice Recorder Audio Sound MP3,5,271,Wonderful app! Recorded myself singing. The sound was crisp and clear. Record different types of meetings which allows for more options to get the right range of recordings that for that particular environment. Compress files and send them to Drive. Wonderful. Thank you!,True,c477239943642a061f77328d7d6a0c6e
Voice Recorder Audio Sound MP3,5,11,clear sound,True,47c776506d2fc4af600aa76dd4505166
Voice Recorder Audio Sound MP3,5,83,the best voice recorder app I have experience so far and I have tried many of them!,True,67cd053133fac721ab47e222b23403ed
Voice Recorder Audio Sound MP3,5,10,it's great,True,e099517ed63ff85f8fd8355d50eb1f34
Voice Recorder Audio Sound MP3,5,23,Everything is perfect 😊,True,26cbc3d5266467c5a6c4dedcf95a6baf
Voice Recorder Audio Sound MP3,4,61,"I think I've find what I needed on this app, thank u for this",True,dff3b9d49044dd6fb7eae61679789a50
Voice Recorder Audio Sound MP3,5,20,The sound it perfect,True,3059073c823dca90c7fff6052f0573d4
Voice Recorder Audio Sound MP3,1,38,couldnt even get the POS to download !,True,779e80f9ab754be3cbb213172f085017
Voice Recorder Audio Sound MP3,1,86,"full screen ad with fake x to close, have to kill the app to get the ad off the screen",True,b930373bcc4f42dc8c705e6b329dc771
Voice Recorder Audio Sound MP3,5,17,worked perfectly.,True,9091662a512bc3a67a0d64e19a361c3b
Voice Recorder Audio Sound MP3,2,94,"Live transcribe is behind a wall, when you could use somejing else that already transcribes...",True,dcba26d750825a42f8b97dc9e79e40b6
